assessid,stockid,mgmt,assessor,country,region,area,area_code,stocklong,species,comm_name1,comm_name2,shp_source,shp_path,zone_col,zones,notes
NIWA-NZLINGLIN3-4-1968-2014-FU,NZLINGLIN3-4,MFish,NIWA,New Zealand,New Zealand,New Zealand Areas LIN 3 and 4,LIN3-4,New Zealand ling New Zealand Areas LIN 3 and 4,Genypterus blacodes,New Zealand ling,NA,Phil Neubauer,new_zealand/qma/QMA_Ling_region.shp,CODE,"LIN3, LIN4",
NIWA-NZLINGLIN5-6-1968-2014-FU,NZLINGLIN5-6,MFish,NIWA,New Zealand,New Zealand,New Zealand Areas LIN 5 and 6,LIN5-6,New Zealand ling New Zealand Areas LIN 5 and 6,Genypterus blacodes,New Zealand ling,NA,Phil Neubauer,new_zealand/qma/QMA_Ling_region.shp,CODE,"LIN5, LIN6 (part)",
NIWA-NZSNAPNZ1BOP-HAGU-1899-2013-FU,NZSNAPNZ1BOP-HAGU,MFish,NIWA,New Zealand,New Zealand,New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,SNA1-BOP-HAGU,New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,Chrysophrys auratus,New Zealand snapper,Snapper,Phil Neubauer,new_zealand/qma/QMA_Snapper_region.shp,CODE,SNA1 (part),
NIWA-NZSNAPNZ1ENLD-1899-2013-FU,NZSNAPNZ1ENLD,MFish,NIWA,New Zealand,New Zealand,New Zealand SNA 1 east Northland,SNA-1-ENLD,New Zealand snapper New Zealand SNA 1 east Northland,Chrysophrys auratus,New Zealand snapper,Snapper,Phil Neubauer,new_zealand/qma/QMA_Snapper_region.shp,CODE,SNA1 (part),
NIWA-OROUGHYESCR-1910-2014-FU,OROUGHYESCR,MFish,NIWA,New Zealand,New Zealand,East and South Chatham Rise,ESCR,Orange roughy East and South Chatham Rise,Hoplostethus atlanticus,Orange roughy,NA,Phil Neubauer,new_zealand/qma/QMA_Orange_roughy_region.shp,CODE,ORH3B (part),
NIWA-OROUGHYNWCR-1910-2014-FU,OROUGHYNWCR,MFish,NIWA,New Zealand,New Zealand,Northwest Chatham Rise,NWCR,Orange roughy Northwest Chatham Rise,Hoplostethus atlanticus,Orange roughy,NA,Phil Neubauer,new_zealand/qma/QMA_Orange_roughy_region.shp,CODE,ORH3B (part),
NIWA-OROUGHYNZ7A-1910-2014-FU,OROUGHYNZ7A,MFish,NIWA,New Zealand,New Zealand,New Zealand Challenger Plateau,NZ7A,Orange roughy New Zealand Challenger Plateau,Hoplostethus atlanticus,Orange roughy,NA,Phil Neubauer,new_zealand/qma/QMA_Orange_roughy_region.shp,CODE,ORH7A (entire),
NIWA-OROUGHYNZMEC-1882-2014-FU,OROUGHYNZMEC,MFish,NIWA,New Zealand,New Zealand,New Zealand Mid East Coast,NZMEC,Orange roughy New Zealand Mid East Coast,Hoplostethus atlanticus,Orange roughy,NA,Phil Neubauer,new_zealand/qma/QMA_Orange_roughy_region.shp,CODE,"ORH2A (part), ORH2B (entire), ORH3A (entire)",
NIWA-PAUANPAU5A-1965-2014-FU,PAUANPAU5A,MFish,NIWA,New Zealand,New Zealand,NZ Area North PAUA 5A,NPAU5A,Black Foot Paua NZ North PAUA5A,Haliotis iris,Blackfoot abalone,NA,Phil Neubauer,new_zealand/qma/QMA_Paua_region.shp,CODE,PAU5A (part),
NIWA-PAUAPAU7-1965-2015-FU,PAUAPAU7,MFish,NIWA,New Zealand,New Zealand,New Zealand Area PAU 7 (Marlborough),PAU7,New Zealand abalone species New Zealand Area PAU 7,Haliotis iris,Blackfoot abalone,NA,Phil Neubauer,new_zealand/qma/QMA_Paua_region.shp,CODE,PAU7,
NIWA-PAUASPAU5A-1965-2014-FU,PAUASPAU5A,MFish,NIWA,New Zealand,New Zealand,NZ Area South PAUA 5A,SPAU5A,Black Foot Paua NZ South PAUA5A,Haliotis iris,Blackfoot abalone,NA,Phil Neubauer,new_zealand/qma/QMA_Paua_region.shp,CODE,PAU5A (part),
NIWA-SCMPBP-1985-2012-FU,SCMPBP,MFish,NIWA,New Zealand,New Zealand,Bay of Plenty,BOP,Scampi Bay of Plenty,Metanephrops challengeri,Scampi,,Phil Neubauer,new_zealand/qma/QMA_Scampi_region.shp,CODE,SCI1,
NIWA-SCMPMB-1989-2014-FU,SCMPMB,MFish,NIWA,New Zealand,New Zealand,Mernoo Bank,MB,Scampi Mernoo Bank,Metanephrops challengeri,Scampi,,Phil Neubauer,new_zealand/qma/QMA_Scampi_region.shp,CODE,SCI3,
NIWA-SCMPWHB-1985-2012-FU,SCMPWHB,MFish,NIWA,New Zealand,New Zealand,Wairarapa/Hawke Bay,WHB,Scampi Wairapa/Hawke Bay,Metanephrops challengeri,Scampi,,Phil Neubauer,new_zealand/qma/QMA_Scampi_region.shp,CODE,SCI2,
NIWA-SMOOTHOREOBP-1983-2008-CORDUE,SMOOTHOREOBP,MFish,NIWA,New Zealand,New Zealand,Bounty Plateau,BP,Smooth Oreo Bounty Plateau,Pseudocyttus maculatus,Smooth oreo,NA,Phil Neubauer,new_zealand/qma/QMA_Oreo_region.shp,CODE,OEO6 (part),
NIWA-SMOOTHOREOCR-1955-2013-FU,SMOOTHOREOCR,MFish,NIWA,New Zealand,New Zealand,Chatham Rise,CR,Smooth oreo Chatham Rise,Pseudocyttus maculatus,Smooth oreo,NA,Phil Neubauer,new_zealand/qma/QMA_Oreo_region.shp,CODE,OEO4,
NIWA-SMOOTHOREOEPR-1973-2006-CORDUE,SMOOTHOREOEPR,MFish,NIWA,New Zealand,New Zealand,East Pukaki Rise,EPR,Smooth Oreo East Pukaki Rise,Pseudocyttus maculatus,Smooth oreo,NA,Phil Neubauer,new_zealand/qma/QMA_Oreo_region.shp,CODE,OEO6 (part) - digitized for black oreo,
